"","Batch","Template","Template_Mean","n","sd","cv"
"1","1","Buf",71.75,8,4.06201920231798,5.66135080462436
"2","1","MUB0.16",958,4,70.4035983928852,7.34901862138676
"3","1","MUB0.625",3417.5,4,98.5985124972312,2.88510643737326
"4","1","MUB1.25",7333.5,4,1033.92407845064,14.0986442824114
"5","1","MUB2.5",13125.5,4,1320.78272247936,10.0627231151527
"6","2","Buf",41,8,2.56347977784662,6.25238970206493
"7","2","MUB0.16",945,4,319.687347262916,33.8293489167107
"8","2","MUB0.625",4350.5,4,157.256690371719,3.61468084982689
"9","2","MUB1.25",8447.5,4,903.541365959523,10.695961716005
"10","2","MUB2.5",15482.5,4,1603.58151232379,10.3573809935333
"11","3","Buf",81.125,8,6.55607678853313,8.08145058678968
"12","3","MUB0.16",1349,4,92.3940835046631,6.84907957781046
"13","3","MUB0.625",3928,4,462.095949632397,11.7641535038798
"14","3","MUB1.25",8842.5,4,370.333633363215,4.18811007478897
"15","3","MUB2.5",15318.75,4,1564.11409963169,10.2104551587544
"16","4","Buf",38.875,8,1.35620268186054,3.48862426202068
"17","4","MUB0.16",1388.5,4,99.6477128019839,7.17664478228188
"18","4","MUB0.625",4928.25,4,582.020832960471,11.8098885600461
"19","4","MUB1.25",10275.75,4,945.337814399347,9.19969651265695
"20","4","MUB2.5",17355,4,2181.02544689419,12.5671302039423
"21","5","Buf",60.5,8,3.4226138716317,5.65721301096148
"22","5","MUB0.16",1141.5,4,142.392649623029,12.4741699187936
"23","5","MUB0.625",4070.25,4,370.640324303765,9.10608253310644
"24","5","MUB1.25",7849,4,907.264386310113,11.5589805874648
"25","5","MUB2.5",15778.75,4,1325.3818003378,8.39978959257102
"26","6","Buf",74.875,8,8.90324980795536,11.8908177735631
"27","6","MUB0.16",1231.25,4,101.762386633438,8.26496541185284
"28","6","MUB0.625",6324,4,1283.39783387693,20.2940833946384
"29","6","MUB1.25",10696.25,4,2391.68718341955,22.3600531346925
"30","6","MUB2.5",22290.25,4,4454.94065617041,19.9860506551986
"31","7","Buf",43.875,8,2.47487373415292,5.64073785561918
"32","7","MUB0.16",1494,4,60.1387285088957,4.02534996712823
"33","7","MUB0.625",5503.25,4,423.993219285403,7.70441501449876
"34","7","MUB1.25",7622.25,4,1713.26440360695,22.4771478711266
"35","7","MUB2.5",17707.5,4,2535.78423109433,14.3203966177853
